bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
MIABOK388,46005350,MIALIS388,MIAAMT388,29061721,MIAREV388,MIACHK388,MIALOC388,MIAPRC388,77,32,29,54,FALSE,200,311,25245,25245
MIABOK47,161456138,MIALIS47,MIAAMT47,23832862,MIAREV47,MIACHK47,MIALOC47,MIAPRC47,76,15,10,234,TRUE,90,131,30767,30767
MIABOK15,58600330,MIALIS15,MIAAMT15,50894287,MIAREV15,MIACHK15,MIALOC15,MIAPRC15,78,21,18,143,FALSE,144,222,43118,43118
MIABOK351,47516230,MIALIS351,MIAAMT351,37717456,MIAREV351,MIACHK351,MIALOC351,MIAPRC351,56,4,1,163,FALSE,95,202,11764,11764
MIABOK468,380138219,MIALIS468,MIAAMT468,48990447,MIAREV468,MIACHK468,MIALOC468,MIAPRC468,53,29,26,20,FALSE,153,345,67843,67843
MIABOK81,26698954,MIALIS81,MIAAMT81,48284866,MIAREV81,MIACHK81,MIALOC81,MIAPRC81,100,3,0,314,FALSE,51,51,8721,8721
MIABOK454,58361319,MIALIS454,MIAAMT454,11322387,MIAREV454,MIACHK454,MIALOC454,MIAPRC454,37,3,0,247,FALSE,36,118,6696,6696
MIABOK24,616825,MIALIS24,MIAAMT24,38851371,MIAREV24,MIACHK24,MIALOC24,MIAPRC24,81,55,52,11,FALSE,240,354,66171,66171
MIABOK61,135423019,MIALIS61,MIAAMT61,48818683,MIAREV61,MIACHK61,MIALOC61,MIAPRC61,21,16,13,142,TRUE,39,223,6134,6134
MIABOK178,18091038,MIALIS178,MIAAMT178,21844495,MIAREV178,MIACHK178,MIALOC178,MIAPRC178,52,79,76,0,TRUE,158,365,57756,57756
MIABOK466,271656881,MIALIS466,MIAAMT466,45117245,MIAREV466,MIACHK466,MIALOC466,MIAPRC466,60,2,-1,301,FALSE,32,64,3418,3418
MIABOK116,79047686,MIALIS116,MIAAMT116,13633735,MIAREV116,MIACHK116,MIALOC116,MIAPRC116,85,16,13,189,TRUE,124,176,18602,18602
MIABOK416,17841401,MIALIS416,MIAAMT416,36813801,MIAREV416,MIACHK416,MIALOC416,MIAPRC416,71,44,41,0,TRUE,215,365,19744,19744
MIABOK298,23331798,MIALIS298,MIAAMT298,47832185,MIAREV298,MIACHK298,MIALOC298,MIAPRC298,96,33,30,152,TRUE,171,213,65457,65457
