airbnbHostId,hostListingCount,superhost
470923464,0,
487299282,0,
348281346,19,
117195857,2,
273971514,3,
338412156,3,
420132354,1,
120876932,0,
5942819,6,
319832218,0,
516734066,0,
253839975,35,
173046600,1,
33816681,3,
242125825,0,
418577,0,
71312760,1,
460419777,0,
212693162,0,
509175415,0,
289189993,0,
504802807,0,
476191949,0,
21500972,0,
490110429,0,
347646634,0,
174786681,1,
77063818,0,
459307723,0,
31556107,0,
62551097,2,
301867671,3,
486645107,0,
304399348,3,
174730697,1,
28965148,0,
488672147,0,
94709785,0,
76371792,0,
438824974,0,
522897283,0,
24815236,0,
50145243,1,
40708138,6,
500829112,0,
522653241,0,
224974119,0,
413494631,0,
319005137,0,
318899,0,
14637971,3,
326495,0,
466814518,0,
83827180,1,
510391967,0,
9224138,0,
